Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
June 9@@24266,:ao: ANG,61.6,2.0,33.183,:cf: CTA,14.6,0.8,23.8,1-0,1,Friendly
June 9@@24266,:tl: TLS 🏡,58.3,2.0,-8.753522,:bn: BRU,17.8,1.0,23.9,1-0,3,Southeast Asian Championship qualifying
June 9@@24266,:ar: ARG,86.0,3.4,37.3172,:is: ISL,3.1,0.5,10.8,2-0,1,Friendly
June 9@@24266,:kh: CAM 🏡,20.0,1.0,12.28687,:hk: HKG,54.1,1.8,25.9,0-1,1,Friendly
June 9@@24266,:sn: SEN,68.0,2.0,37.3172,:sa: KSA,9.2,0.6,22.8,1-0,1,Friendly
June 9@@24266,:am: ARM 🏡,57.2,1.9,40.27288,:md: MDA,17.6,0.9,25.3,1-0,1,Friendly
June 9@@24266,:hu: HUN 🏡,72.2,2.5,47.31799,:kz: KAZ,9.1,0.7,18.7,1-0,1,Friendly
June 9@@24266,:om: OMA,49.2,1.6,14.11979,:kw: KUW,22.4,1.0,28.3,1-0,1,Friendly
June 9@@24266,:cn: CHN 🏡,52.5,1.7,32.3261,:th: THA,20.0,0.9,27.5,1-0,1,Friendly
June 9@@24266,:cl: CHI,35.3,1.3,39.58596,:cd: COD,35.3,1.3,29.4,0-0,1,Friendly
June 9@@24266,:ru: RUS 🏡,82.9,3.1,53.7622,:tt: TRI,4.3,0.6,12.8,2-0,1,Friendly
June 10@@24267,:pt: POR 🏡,63.3,1.9,39.65553,:ng: NGA,12.1,0.7,24.7,1-0,1,Friendly
June 10@@24267,:at: AUT,66.0,2.2,37.3172,:gt: GUA,12.3,0.8,21.7,1-0,1,Friendly
June 10@@24267,:gb-eng: ENG,81.2,2.9,37.3172,:cr: CRC,4.6,0.5,14.2,2-0,1,Friendly
July 24@@24311,:kh: CAM 🏡,19.1,1.0,12.28687,:sg: SGP,56.2,1.9,24.7,0-1,4,Southeast Asian Championship
July 25@@24312,:mm: MYA 🏡,14.7,0.9,19.49208,:my: MAS,62.4,2.1,22.9,0-1,4,Southeast Asian Championship
July 25@@24312,:la: LAO 🏡,1.7,0.4,17.93762,:th: THA,90.3,3.8,8.0,0-2,4,Southeast Asian Championship
July 27@@24314,:id: IDN 🏡,93.8,4.4,-4.827971,:kh: CAM,0.8,0.3,5.4,3-0,4,Southeast Asian Championship
July 28@@24315,:ph: PHI 🏡,77.1,2.7,12.2553,:mm: MYA,6.8,0.7,16.2,1-0,4,Southeast Asian Championship
July 28@@24315,:my: MAS 🏡,93.8,4.4,3.825267,:la: LAO,0.8,0.3,5.4,3-0,4,Southeast Asian Championship
July 31@@24318,:vn: VIE 🏡,73.1,2.4,15.43885,:sg: SGP,8.0,0.6,18.9,1-0,4,Southeast Asian Championship
Aug. 1@@24319,:la: LAO 🏡,5.5,0.6,17.93762,:ph: PHI,80.2,2.9,14.3,0-2,4,Southeast Asian Championship
Aug. 1@@24319,:th: THA 🏡,66.1,2.2,14.11979,:my: MAS,11.9,0.8,21.9,1-0,4,Southeast Asian Championship
Aug. 3@@24321,:id: IDN 🏡,57.8,1.9,-4.827971,:vn: VIE,17.1,0.9,25.2,1-0,4,Southeast Asian Championship
Aug. 4@@24322,:ph: PHI 🏡,24.3,1.1,12.2553,:th: THA,48.9,1.7,26.9,0-1,4,Southeast Asian Championship
Aug. 4@@24322,:mm: MYA 🏡,73.4,2.6,19.49208,:la: LAO,8.9,0.8,17.6,1-0,4,Southeast Asian Championship
Aug. 7@@24325,:sg: SGP 🏡,13.2,0.8,1.362888,:id: IDN,63.9,2.1,22.9,0-1,4,Southeast Asian Championship
Aug. 7@@24325,:vn: VIE 🏡,91.2,3.9,15.43885,:kh: CAM,1.4,0.4,7.4,2-0,4,Southeast Asian Championship
Aug. 8@@24326,:my: MAS 🏡,61.9,2.1,3.825267,:ph: PHI,14.9,0.9,23.2,1-0,4,Southeast Asian Championship
Aug. 8@@24326,:th: THA 🏡,89.7,3.7,14.11979,:mm: MYA,1.8,0.4,8.5,2-0,4,Southeast Asian Championship
Sept. 24@@24373,:rs: SRB 🏡,38.3,1.3,44.44791,:gr: GRE,31.0,1.1,30.7,0-0,6,UEFA Nations League A
Sept. 24@@24373,:nl: NED 🏡,42.2,1.7,52.09536,:de: GER,31.6,1.4,26.3,1-1,6,UEFA Nations League A
Sept. 24@@24373,:ad: AND 🏡,21.5,0.7,42.52226,:mt: MLT,42.5,1.1,35.9,0-0,6,UEFA Nations League D
Sept. 24@@24373,:xk: KOS 🏡,39.4,1.2,42.57,:ie: IRL,27.8,0.9,32.7,0-0,6,UEFA Nations League B
Sept. 24@@24373,:at: AUT 🏡,71.8,2.5,47.7831,:il: ISR,9.6,0.8,18.6,1-0,6,UEFA Nations League B
Sept. 24@@24373,:li: LIE 🏡,6.1,0.5,47.15836,:lt: LTU,74.2,2.2,19.7,0-1,6,UEFA Nations League D
Sept. 24@@24373,:no: NOR 🏡,53.6,1.8,60.99203,:dk: DEN,20.3,1.0,26.1,1-0,6,UEFA Nations League A
Sept. 24@@24373,:pt: POR 🏡,75.1,2.4,39.65553,:gb-wls: WAL,6.3,0.5,18.5,1-0,6,UEFA Nations League A
Sept. 25@@24374,:pl: POL 🏡,58.4,1.9,51.72587,:ba: BIH,16.7,0.9,24.9,1-0,6,UEFA Nations League B
Sept. 25@@24374,:ge: GEO 🏡,49.2,1.4,41.93037,:gb-nir: NIR,20.1,0.8,30.7,0-0,6,UEFA Nations League B
Sept. 25@@24374,:tr: TUR 🏡,19.8,1.0,39.29454,:fr: FRA,53.6,1.7,26.6,0-1,6,UEFA Nations League A
Sept. 25@@24374,:hu: HUN 🏡,40.5,1.4,47.31799,:ua: UKR,29.9,1.1,29.6,0-0,6,UEFA Nations League B
Sept. 25@@24374,:me: MNE 🏡,60.1,2.0,42.55761,:cy: CYP,15.8,0.9,24.1,1-0,6,UEFA Nations League C
Sept. 25@@24374,:it: ITA 🏡,44.9,1.4,42.97874,:be: BEL,24.4,0.9,30.7,0-0,6,UEFA Nations League A
Sept. 25@@24374,:am: ARM 🏡,47.1,1.5,40.27288,:lv: LVA,24.0,1.0,28.9,1-0,6,UEFA Nations League C
